"method","url"
"igraph_cattribute_remove_e","https://igraph.org/c/html/latest/igraph-Attributes.html#igraph_cattribute_remove_e"
"igraph_cattribute_remove_g","https://igraph.org/c/html/latest/igraph-Attributes.html#igraph_cattribute_remove_g"
"igraph_cattribute_remove_v","https://igraph.org/c/html/latest/igraph-Attributes.html#igraph_cattribute_remove_v"
"igraph_cattribute_VAB","https://igraph.org/c/html/latest/igraph-Attributes.html#igraph_cattribute_VAB"
"igraph_cattribute_VABV","https://igraph.org/c/html/latest/igraph-Attributes.html#igraph_cattribute_VABV"
"igraph_cattribute_VAB_set","https://igraph.org/c/html/latest/igraph-Attributes.html#igraph_cattribute_VAB_set"
"igraph_cattribute_VAB_setv","https://igraph.org/c/html/latest/igraph-Attributes.html#igraph_cattribute_VAB_setv"
"igraph_cattribute_VAN","https://igraph.org/c/html/latest/igraph-Attributes.html#igraph_cattribute_VAN"
"igraph_cattribute_VANV","https://igraph.org/c/html/latest/igraph-Attributes.html#igraph_cattribute_VANV"
"igraph_cattribute_VAN_set","https://igraph.org/c/html/latest/igraph-Attributes.html#igraph_cattribute_VAN_set"
"igraph_cattribute_VAN_setv","https://igraph.org/c/html/latest/igraph-Attributes.html#igraph_cattribute_VAN_setv"
"igraph_cattribute_VAS","https://igraph.org/c/html/latest/igraph-Attributes.html#igraph_cattribute_VAS"
"igraph_cattribute_VASV","https://igraph.org/c/html/latest/igraph-Attributes.html#igraph_cattribute_VASV"
"igraph_cattribute_VAS_set","https://igraph.org/c/html/latest/igraph-Attributes.html#igraph_cattribute_VAS_set"
"igraph_cattribute_VAS_setv","https://igraph.org/c/html/latest/igraph-Attributes.html#igraph_cattribute_VAS_setv"
"igraph_centralization","https://igraph.org/c/html/latest/igraph-Structural.html#igraph_centralization"
"igraph_centralization_betweenness","https://igraph.org/c/html/latest/igraph-Structural.html#igraph_centralization_betweenness"
"igraph_centralization_betweenness_tmax","https://igraph.org/c/html/latest/igraph-Structural.html#igraph_centralization_betweenness_tmax"
"igraph_centralization_closeness","https://igraph.org/c/html/latest/igraph-Structural.html#igraph_centralization_closeness"
"igraph_centralization_closeness_tmax","https://igraph.org/c/html/latest/igraph-Structural.html#igraph_centralization_closeness_tmax"
"igraph_centralization_degree","https://igraph.org/c/html/latest/igraph-Structural.html#igraph_centralization_degree"
"igraph_centralization_degree_tmax","https://igraph.org/c/html/latest/igraph-Structural.html#igraph_centralization_degree_tmax"
"igraph_centralization_eigenvector_centrality","https://igraph.org/c/html/latest/igraph-Structural.html#igraph_centralization_eigenvector_centrality"
"igraph_centralization_eigenvector_centrality_tmax","https://igraph.org/c/html/latest/igraph-Structural.html#igraph_centralization_eigenvector_centrality_tmax"
"IGRAPH_CHECK","https://igraph.org/c/html/latest/igraph-Error.html#IGRAPH_CHECK"
"IGRAPH_CHECK_CALLBACK","https://igraph.org/c/html/latest/igraph-Error.html#IGRAPH_CHECK_CALLBACK"
"igraph_chung_lu_game","https://igraph.org/c/html/latest/igraph-Games.html#igraph_chung_lu_game"
"igraph_circle_beta_skeleton","https://igraph.org/c/html/latest/igraph-Spatial.html#igraph_circle_beta_skeleton"
"igraph_circulant","https://igraph.org/c/html/latest/igraph-Generators.html#igraph_circulant"
"igraph_cited_type_game","https://igraph.org/c/html/latest/igraph-Games.html#igraph_cited_type_game"
"igraph_citing_cited_type_game","https://igraph.org/c/html/latest/igraph-Games.html#igraph_citing_cited_type_game"
"igraph_cliques","https://igraph.org/c/html/latest/igraph-Cliques.html#igraph_cliques"
"igraph_cliques_callback","https://igraph.org/c/html/latest/igraph-Cliques.html#igraph_cliques_callback"
"igraph_clique_handler_t","https://igraph.org/c/html/latest/igraph-Cliques.html#igraph_clique_handler_t"
"igraph_clique_number","https://igraph.org/c/html/latest/igraph-Cliques.html#igraph_clique_number"
"igraph_clique_size_hist","https://igraph.org/c/html/latest/igraph-Cliques.html#igraph_clique_size_hist"
"igraph_closeness","https://igraph.org/c/html/latest/igraph-Structural.html#igraph_closeness"
"igraph_closeness_cutoff","https://igraph.org/c/html/latest/igraph-Structural.html#igraph_closeness_cutoff"
"igraph_cmp_epsilon","https://igraph.org/c/html/latest/igraph-Nongraph.html#igraph_cmp_epsilon"
"igraph_cocitation","https://igraph.org/c/html/latest/igraph-Structural.html#igraph_cocitation"
"igraph_cohesion","https://igraph.org/c/html/latest/igraph-Flows.html#igraph_cohesion"
"igraph_cohesive_blocks","https://igraph.org/c/html/latest/igraph-Flows.html#igraph_cohesive_blocks"
"igraph_coloring_greedy_t","https://igraph.org/c/html/latest/igraph-Coloring.html#igraph_coloring_greedy_t"
"igraph_community_eb_get_merges","https://igraph.org/c/html/latest/igraph-Community.html#igraph_community_eb_get_merges"
"igraph_community_edge_betweenness","https://igraph.org/c/html/latest/igraph-Community.html#igraph_community_edge_betweenness"
"igraph_community_fastgreedy","https://igraph.org/c/html/latest/igraph-Community.html#igraph_community_fastgreedy"
"igraph_community_fluid_communities","https://igraph.org/c/html/latest/igraph-Community.html#igraph_community_fluid_communities"
"igraph_community_infomap","https://igraph.org/c/html/latest/igraph-Community.html#igraph_community_infomap"
"igraph_community_label_propagation","https://igraph.org/c/html/latest/igraph-Community.html#igraph_community_label_propagation"
"igraph_community_leading_eigenvector","https://igraph.org/c/html/latest/igraph-Community.html#igraph_community_leading_eigenvector"
"igraph_community_leading_eigenvector_callback_t","https://igraph.org/c/html/latest/igraph-Community.html#igraph_community_leading_eigenvector_callback_t"
"igraph_community_leiden","https://igraph.org/c/html/latest/igraph-Community.html#igraph_community_leiden"
"igraph_community_leiden_simple","https://igraph.org/c/html/latest/igraph-Community.html#igraph_community_leiden_simple"
"igraph_community_multilevel","https://igraph.org/c/html/latest/igraph-Community.html#igraph_community_multilevel"
"igraph_community_optimal_modularity","https://igraph.org/c/html/latest/igraph-Community.html#igraph_community_optimal_modularity"
"igraph_community_spinglass","https://igraph.org/c/html/latest/igraph-Community.html#igraph_community_spinglass"
"igraph_community_spinglass_single","https://igraph.org/c/html/latest/igraph-Community.html#igraph_community_spinglass_single"
"igraph_community_to_membership","https://igraph.org/c/html/latest/igraph-Community.html#igraph_community_to_membership"
"igraph_community_voronoi","https://igraph.org/c/html/latest/igraph-Community.html#igraph_community_voronoi"
"igraph_community_walktrap","https://igraph.org/c/html/latest/igraph-Community.html#igraph_community_walktrap"
"igraph_compare_communities","https://igraph.org/c/html/latest/igraph-Community.html#igraph_compare_communities"
"igraph_complementer","https://igraph.org/c/html/latest/igraph-Operators.html#igraph_complementer"
"igraph_complex_almost_equals","https://igraph.org/c/html/latest/igraph-Nongraph.html#igraph_complex_almost_equals"
"igraph_compose","https://igraph.org/c/html/latest/igraph-Operators.html#igraph_compose"
"igraph_connected_components","https://igraph.org/c/html/latest/igraph-Structural.html#igraph_connected_components"
"igraph_connect_neighborhood","https://igraph.org/c/html/latest/igraph-Operators.html#igraph_connect_neighborhood"
"igraph_constraint","https://igraph.org/c/html/latest/igraph-Structural.html#igraph_constraint"
"igraph_contract_vertices","https://igraph.org/c/html/latest/igraph-Operators.html#igraph_contract_vertices"
"igraph_convergence_degree","https://igraph.org/c/html/latest/igraph-Structural.html#igraph_convergence_degree"
"igraph_convex_hull_2d","https://igraph.org/c/html/latest/igraph-Spatial.html#igraph_convex_hull_2d"
"igraph_copy","https://igraph.org/c/html/latest/igraph-Basic.html#igraph_copy"
